query_id,query_text,user_intent,result_rank,result_title,result_description,relevance_score,rationale
q1,makeup tutorial for beginners,To learn how to do makeup as a beginner,1,5-min beginner makeup routine,Slowly explained everyday makeup tutorial using basic products,3,"Matches well with beginners request, simple  makeup tutorial."
q1,makeup tutorial for beginners,To learn how to do makeup as a beginner,2,Natural school makeup for beginners,Natural makeup for school(everyday makeup),3,"Very relevant, easy to follow, targeting beginners."
q1,makeup tutorial for beginners,To learn how to do makeup as a beginner,3,Full glam night out makeup,"Heavy makeup tutorial, not for complete beginners",2,Related to makeup but not ideal for beginners.
q1,makeup tutorial for beginners,To learn how to do makeup as a beginner,4,Sephora makeiup product haul,Just showing new makeup products without any tutorials,1,Related to makeup but no tutorials for beginners to learn from.
q1,makeup tutorial for beginners,To learn how to do makeup as a beginner,5,Skincare routine for oily skin,Skincare tutorial for a certain type of skins,0,Irrelevant to user's request(makeup tutorial for beginners).
q2,korean drama 2024 recommendations,To find recent korean dramas (2024) to watch,1,Top 10 Korean dramas of 2024,List of 2024 dramas with reviews,3,Perfect match answering query directly.
q2,korean drama 2024 recommendations,To find recent korean dramas (2024) to watch,2,Hidden Gem K-dramas 2023-2024,Mix of late 2023 and early 2024 dramas,2,Includes older dramas but still relevant.
q2,korean drama 2024 recommendations,To find recent korean dramas (2024) to watch,3,Best romantic K-dramas ever,Shows older dramas only,1,Recommending dramas but not year specific.
q2,korean drama 2024 recommendations,To find recent korean dramas (2024) to watch,4,K-dramas that help you learn Korean,Language learning tips,1,Recommending dramas but off-intent.
q2,korean drama 2024 recommendations,To find recent korean dramas (2024) to watch,5,Top Japanese dramas of 2024,Japanese dramas only,0,"Not including any k-dramas, Irrelevant to user's request."
q3,how to cook creamy pasta,To make creamy pasta with simple ingredients,1,Creamy Alfredo pasta recipe,Creamy pasta instructions,3,Matches well with user's request(cooking creamy pasta).
q3,how to cook creamy pasta,To make creamy pasta with simple ingredients,2,One-pan creamy mushroom pasta,Simple creamy pasta recipe,3,Highly relevant to user's request and intent(simple ingredients).
q3,how to cook creamy pasta,To make creamy pasta with simple ingredients,3,Tomato basil pasta recipe,"Tomato based recipe, not cream based",1,"Not creamy, but related to pasta"
q3,how to cook creamy pasta,To make creamy pasta with simple ingredients,4,Cooking tips for boiling pasta,General tips for boiling pasta,1,No recipe but related to pasta
q3,how to cook creamy pasta,To make creamy pasta with simple ingredients,5,"Korean Rose pasta,","Rose based pasta, creamy but not traditional",2,Somewhat relevant but not exactly to the query.
q4,funny dog videos compilation,To watch funny dog clips,1,Funniest dog moments 2024,High quality edited dog clips that show fun moments,3,"Perfect match, highly relevant"
q4,funny dog videos compilation,To watch funny dog clips,2,Silly dogs trying snacks,A single topic of fun dog clips,2,Relevant but not compilation
q4,funny dog videos compilation,To watch funny dog clips,3,Animals being funny,"Show fun animal clips, not just dogs",1,Partially relevant
q4,funny dog videos compilation,To watch funny dog clips,4,Cute dog sleeping,A single topic of a cute dog clip,1,Relevant to dogs but off-intent
q4,funny dog videos compilation,To watch funny dog clips,5,Cat fails,Shows funny moments of cats,0,"Wrong animal, Irrelevant to user's query."
q5,travel vlog japan tokyo osaka,To watch travel vlog covering Tokyo and Osaka in Japan,1,Japan trip vlog: Tokyo & Osaka,Highlights travel from Tokyo and Osaka,3,Exact match with user's query
q5,travel vlog japan tokyo osaka,To watch travel vlog covering Tokyo and Osaka in Japan,2,Tokyo food tour vlog,Highlights food from Tokyo,2,Not including Osaka but still relevant
q5,travel vlog japan tokyo osaka,To watch travel vlog covering Tokyo and Osaka in Japan,3,Osaka nightlife guide,Highlights nighlife in Osaka,2,Not including Tokyo but still relevant
q5,travel vlog japan tokyo osaka,To watch travel vlog covering Tokyo and Osaka in Japan,4,Kyoto travel vlog,Traveling in Kyoto,1,Different city in Japan
q5,travel vlog japan tokyo osaka,To watch travel vlog covering Tokyo and Osaka in Japan,5,Korean subway tour,Subway in Korea,0,Irrelevant to user's qeury
q6,resume tips for university students,University students to learn how to improve their resume,1,Resume tips for college students,Practical tips for building resume,3,Perfect match answering query directly.
q6,resume tips for university students,University students to learn how to improve their resume,2,How to write your first Resume,General tips for writing resume for students,3,Highly relevant to user's intent.
q6,resume tips for university students,University students to learn how to improve their resume,3,How to Ace a job interview,"Interview tips for job, not resume",1,Related to job but not specific to resume tips.
q6,resume tips for university students,University students to learn how to improve their resume,4,Study tips for finals,"Exam tips, not resume",0,Irrelevant to usesr's request
q6,resume tips for university students,University students to learn how to improve their resume,5,Graphic design portfolio tips,Portfolio tips only,1,Partially relevant
q7,kpop dance practice blackpink,To learn how to dance a Blackpink song,1,Blackpink 'JUMP' dance tutorial,Step by step instructions on Blackpink's song,3,Perfect match
q7,kpop dance practice blackpink,To learn how to dance a Blackpink song,2,Blackpink 'DDU-DU DDU-DU' Mirror Ver. Tutorial,Mirrored step by step instructions on Blackpink's song,3,Highly relevant
q7,kpop dance practice blackpink,To learn how to dance a Blackpink song,3,K-pop dance tips for beginners,"General tips, not specifically to Blackpink",2,Relevant to query but not specific enough
q7,kpop dance practice blackpink,To learn how to dance a Blackpink song,4,Blackpink MV reaction,"Reaction video, not dancing tutorial",1,Irrelevant to user's query but still related to kpop
q7,kpop dance practice blackpink,To learn how to dance a Blackpink song,5,Aespa dance practice,Different group's dance tutorial,0,Irrelevant to user's qeury
q8,20 minutes home workout no equipment,To find 20 minutes home workout routine without any equipments,1,20 min full body no equipment workout,Eactlly 20 mins of no equipment workout video,3,Perfect fit
q8,21 minutes home workout no equipment,To find 20 minutes home workout routine without any equipments,2,15 min home workout ,Shorter than 20 mins,2,Relevant but shorter length to user's request
q8,22 minutes home workout no equipment,To find 20 minutes home workout routine without any equipments,3,30 min Yoga flow,"Longer, more on yoga.",1,Somewhat relevant but not exactly to the query.
q8,23 minutes home workout no equipment,To find 20 minutes home workout routine without any equipments,4,HIIT with dumbbells,Require dumbbells.,1,Violate no equipment rule
