query_id,query,result_rank,result_title,result_description,relevance_score,rationale
1,NewJeans Hype boy dance tutorial,1,NewJeans 'Hype Boy' dance tutorial (Slow + Mirror),Full step by step mirrored tutorial,3,Perfect match for the query
1,NewJeans Hype boy dance tutorial,2,‘Hype Boy’ Dance Breakdown for Beginners,Simplified breakdown teaching key moves,3,Highly relevanct beginner tutorial
1,NewJeans Hype boy dance tutorial,3,NewJeans Dance Tutorial Playlist – All Songs,Playlist including Hype boy tutorial,2,Broader than just Hype boy but still relevant
1,NewJeans Hype boy dance tutorial,4,Hype Boy Performance Practice (Mirror Ver.),Mirror version of official choreography,2,Not instructional video but still relevant
1,NewJeans Hype boy dance tutorial,5,Hype Boy Dance Cover – Mirror Ver.,Performance only,1,"Performance purpose, not instructional"
1,NewJeans Hype boy dance tutorial,6,K-pop Basic Moves for Beginners,General K-pop tutorial,1,Not specific to the requested artist & music
1,NewJeans Hype boy dance tutorial,7,NewJeans Live Performance Compilation,Live performance clips,0,"Irrelevant to the query, no dance and teaching"
1,NewJeans Hype boy dance tutorial,8,NewJeans Fan Edits Compilation,Daily moments of artist,0,"Irrelevant to the query, no dance and teaching"
1,NewJeans Hype boy dance tutorial,9,K-pop Girl Group Dance Evolution,"General K-pop dance, not instructional",0,"Irrelevant to the query, no dance and teaching"
1,NewJeans Hype boy dance tutorial,10,Hype Boy Lyrics English Translation,Lyrics only,0,"Irrelevant to the query, no dance and teaching"
2,Apple support Korea phone number ,1,Apple Korea Customer Support (Official),Official Apple Korea support hotline,3,Exact match of official support number
2,Apple support Korea phone number ,2,Apple Korea Contact Information - Official,Official support page with hotline,3,Highly relevant and authoritative
2,Apple support Korea phone number ,3,How to contact Apple Support in Korea,Guide explaining methods to reach support,2,"Indirect match, still relevant"
2,Apple support Korea phone number ,4,Apple authorized service providers in Seoul,List of Apple authorized repaire stores,1,Helpful but does not contain the hotline
2,Apple support Korea phone number ,5,Apple Genius Bar booking Korea,Guide for booking repairs,1,Slightly related
2,Apple support Korea phone number ,6,Third-party Apple repair center unofficial,Unofficial repaire center,0,User requested official hotline
2,Apple support Korea phone number ,7,Cheap iphone screen repair Korea,Promotion for cheap repairs,0,Misleading content
2,Apple support Korea phone number ,8,Apple tips and hacks compliation,General Apple tips video,0,Unwanted information
2,Apple support Korea phone number ,9,Korean customer service numbers list,General customer service numbers,0,User wanted Apple support numbers
2,Apple support Korea phone number ,10,Apple logo animation,Apple logo edit,0,Irrelevant to the query
3,Sydney Uni timetable login,1,USYD timetable login (Official portal),Direct link to official timetable login,3,Exact match of login link 
3,Sydney Uni timetable login,2,How to access your Sydney Uni timetable,Full guide with login link,3,Highly relevant  
3,Sydney Uni timetable login,3,USYD student portal guide 2025,Overview including timetable access,2,Broader than login link but still relevant
3,Sydney Uni timetable login,4,Sydney uni timetable explained,Explaination only without link,1,No direct login link but still useful
3,Sydney Uni timetable login,5,Sydney uni Canvas tutorial ,Tutorial for Canvas only,1,No direct login link but still useful
3,Sydney Uni timetable login,6,Sydney uni tips for unit selection ,Advice on choosing units,0,Not related to login
3,Sydney Uni timetable login,7,Student Vlog: planningn my USYD timetable,Vlog discussing planning timetable,0,Not related to login
3,Sydney Uni timetable login,8,Top study spots at USYD ,List of study locations,0,Not related 
3,Sydney Uni timetable login,9,Sydny uni clubs and societies 2025,Student clubs introduction,0,Not related 
3,Sydney Uni timetable login,10,Fake USYD timetable login scam warning,Video about phishing site,0,Not related 
4,Naver Papago app download,1,Papago - Naver translation app (Official download),Official Papago download page,3,Perfect match for download intent
4,Naver Papago app download,2,Naver Papago on Google play store,Android version download page,3,Direct platform match
4,Naver Papago app download,3,Papago - Apple App store link,ios version download page,3,Direct platform match
4,Naver Papago app download,4,How to use the Naver Papago app  ,Tutorial overview with link,2,Not the main intent but still relevant
4,Naver Papago app download,5,Top 5 Kiorean Translation Apps 2024,Comparison list including Papago,1,Indirect match 
4,Naver Papago app download,6,Papago VS Google translate comparison,Comparison content,1,Indirect match 
4,Naver Papago app download,7,My favourite language learning apps,General list of language apps,0,Not related 
4,Naver Papago app download,8,Papago desktop version guide,Guide for desktop version of Papago,0,Not mobile app download
4,Naver Papago app download,9,Korean study tips using translation apps,General study advice,0, Not related to download
4,Naver Papago app download,10,Papago APK free download (Unofficial),Unsafe download,0,Unsafe
